trade_date,symbol,action,s60_shares,entry_price,in_risk,epc_shares,exit_price,fwd_5d,fwd_10d,fwd_20d
2026-01-30,603993,SKIPPED_BUY,2900.0,24.33,False,,,-0.096178,-0.096589,-0.127004
2026-02-03,300394,SKIPPED_BUY,200.0,270.0,False,,,0.066185,0.264852,0.225926
2026-02-11,603667,SKIPPED_BUY,200.0,87.45,False,,,-0.081647,-0.165809,-0.234763
2026-02-12,300251,SKIPPED_BUY,1200.0,23.59,False,,,-0.173802,-0.259008,-0.342094
2026-02-12,300395,SKIPPED_BUY,400.0,100.42,False,,,0.337582,0.098287,-0.025393
2026-02-13,688521,SKIPPED_BUY,200.0,275.5,False,,,-0.029401,-0.163049,-0.30853
2026-02-25,600410,SKIPPED_BUY,4700.0,24.79,False,,,0.172247,0.318273,0.032674
2026-03-05,601872,SKIPPED_BUY,300.0,17.46,False,,,-0.085338,0.011455,0.11512
2026-03-06,001309,SKIPPED_BUY,100.0,271.12,False,,,0.180474,0.22278,0.298392
2026-03-06,600549,SKIPPED_BUY,400.0,74.0,False,,,-0.156757,-0.265946,-0.281216
2026-03-09,002261,SKIPPED_BUY,1500.0,42.96,False,,,-0.131285,-0.202048,-0.212989
2026-03-11,300475,SKIPPED_BUY,800.0,156.83,False,,,0.083913,-0.053497,-0.059172
2026-03-19,002384,SKIPPED_BUY,100.0,111.72,False,,,-0.066416,-0.048962,0.450949
2026-03-20,002463,SKIPPED_BUY,300.0,84.3,False,,,-0.043416,-0.094662,0.162515
2026-03-23,300308,SKIPPED_BUY,100.0,599.62,False,,,-0.017578,0.033204,0.442347
2026-03-25,001309,SKIPPED_BUY,100.0,375.17,False,,,-0.008503,0.083722,0.318576
2026-03-25,603259,SKIPPED_BUY,1100.0,94.02,False,,,0.104127,0.129441,0.065624
2026-04-02,600276,SKIPPED_BUY,300.0,57.37,False,,,-0.005404,-0.018128,-0.065191
2026-04-03,600487,SKIPPED_BUY,500.0,58.05,False,,,-0.078553,0.048923,0.308527
2026-04-07,300342,SKIPPED_BUY,1000.0,59.85,False,,,-0.104595,0.147536,0.142857
2026-04-09,300433,SKIPPED_BUY,3400.0,29.67,False,,,-0.135827,-0.103472,0.0273
2026-04-09,601869,SKIPPED_BUY,100.0,398.31,False,,,-0.074791,-0.033366,0.033014
2026-04-17,600176,SKIPPED_BUY,1300.0,33.5,False,,,-0.014925,0.104478,0.04806
2026-04-20,000657,SKIPPED_BUY,400.0,58.54,False,,,-0.080458,0.079433,-0.031261
2026-04-21,002837,SKIPPED_BUY,400.0,108.97,False,,,-0.148022,-0.061393,-0.036983
2026-04-23,002436,SKIPPED_BUY,800.0,28.4,False,,,-0.024296,0.177817,0.341901
2026-04-23,601166,SKIPPED_BUY,6100.0,18.2,False,,,-0.014835,-0.024725,-0.02033
2026-05-06,002709,SKIPPED_BUY,800.0,64.0,False,,,-0.095,-0.09375,-0.198438
2026-05-08,300124,SKIPPED_BUY,600.0,75.0,False,,,0.030933,0.0532,0.001067
2026-05-11,603179,SKIPPED_BUY,300.0,71.2,False,,,0.09073,-0.136798,-0.252107
2026-05-12,600584,SKIPPED_BUY,1500.0,55.24,False,,,0.100833,0.596488,0.362962
2026-05-12,688008,SKIPPED_BUY,200.0,240.7,False,,,0.026631,0.131242,-0.017865
2026-05-20,300433,SKIPPED_BUY,1400.0,36.31,False,,,0.109336,0.222528,0.410355
2026-05-25,300408,SKIPPED_BUY,200.0,115.35,False,,,0.08912,0.065626,0.261378
2026-05-26,600183,SKIPPED_BUY,600.0,128.17,False,,,0.100648,0.150581,0.383319
2026-05-26,603986,SKIPPED_BUY,100.0,526.22,False,,,-0.097925,-0.048877,0.339915
